gwcode,year,igo_n,igo_total,igo_p
359,1998,46,337,0.13649851632047477
359,1999,46,330,0.1393939393939394
359,2000,47,330,0.14242424242424243
359,2001,49,323,0.15170278637770898
359,2002,49,327,0.14984709480122324
359,2003,49,327,0.14984709480122324
359,2004,50,327,0.1529051987767584
359,2005,51,324,0.1574074074074074
360,1995,63,323,0.19504643962848298
360,1996,65,325,0.2
360,1997,65,328,0.19817073170731708
360,1998,67,337,0.19881305637982197
360,1999,67,330,0.20303030303030303
360,2000,67,330,0.20303030303030303
360,2001,71,323,0.21981424148606812
360,2002,71,327,0.21712538226299694
360,2003,69,327,0.21100917431192662
360,2004,73,327,0.22324159021406728
360,2005,72,324,0.2222222222222222
365,1995,68,323,0.21052631578947367
365,1996,74,325,0.2276923076923077
365,1997,76,328,0.23170731707317074
365,1998,81,337,0.2403560830860534
365,1999,81,330,0.24545454545454545
365,2000,81,330,0.24545454545454545
365,2001,84,323,0.26006191950464397
365,2002,83,327,0.25382262996941896
365,2003,84,327,0.25688073394495414
365,2004,84,327,0.25688073394495414
365,2005,85,324,0.2623456790123457
366,1995,38,323,0.11764705882352941
366,1996,39,325,0.12
366,1997,41,328,0.125
366,1998,43,337,0.12759643916913946
366,1999,44,330,0.13333333333333333
366,2000,45,330,0.13636363636363635
366,2001,46,323,0.14241486068111456
366,2002,48,327,0.14678899082568808
366,2003,47,327,0.1437308868501529
366,2004,53,327,0.1620795107033639
366,2005,58,324,0.17901234567901234
367,1995,37,323,0.11455108359133127
367,1996,37,325,0.11384615384615385
367,1997,38,328,0.11585365853658537
367,1998,40,337,0.11869436201780416
367,1999,42,330,0.12727272727272726
367,2000,43,330,0.1303030303030303
367,2001,43,323,0.13312693498452013
367,2002,45,327,0.13761467889908258
367,2003,45,327,0.13761467889908258
367,2004,54,327,0.1651376146788991
367,2005,58,324,0.17901234567901234
368,1995,37,323,0.11455108359133127
368,1996,37,325,0.11384615384615385
368,1997,40,328,0.12195121951219512
368,1998,43,337,0.12759643916913946
368,1999,43,330,0.1303030303030303
368,2000,43,330,0.1303030303030303
368,2001,46,323,0.14241486068111456
368,2002,46,327,0.14067278287461774
368,2003,50,327,0.1529051987767584
368,2004,56,327,0.1712538226299694
368,2005,59,324,0.18209876543209877
369,1995,40,323,0.1238390092879257
369,1996,42,325,0.12923076923076923
369,1997,44,328,0.13414634146341464
369,1998,48,337,0.142433234421365
369,1999,51,330,0.15454545454545454
369,2000,51,330,0.15454545454545454
369,2001,53,323,0.16408668730650156
369,2002,52,327,0.15902140672782875
369,2003,54,327,0.1651376146788991
369,2004,56,327,0.1712538226299694
369,2005,56,324,0.1728395061728395
370,1995,34,323,0.10526315789473684
370,1996,35,325,0.1076923076923077
370,1997,37,328,0.11280487804878049
370,1998,39,337,0.11572700296735905
370,1999,39,330,0.11818181818181818
370,2000,40,330,0.12121212121212122
370,2001,41,323,0.12693498452012383
370,2002,42,327,0.12844036697247707
370,2003,45,327,0.13761467889908258
370,2004,45,327,0.13761467889908258
370,2005,48,324,0.14814814814814814
371,1995,31,323,0.09597523219814241
371,1996,31,325,0.09538461538461539
371,1997,33,328,0.10060975609756098
371,1998,34,337,0.10089020771513353
371,1999,36,330,0.10909090909090909
371,2000,37,330,0.11212121212121212
371,2001,39,323,0.12074303405572756
371,2002,39,327,0.11926605504587157
371,2003,40,327,0.12232415902140673
371,2004,41,327,0.12538226299694188
371,2005,42,324,0.12962962962962962
372,1995,34,323,0.10526315789473684
372,1996,36,325,0.11076923076923077
372,1997,37,328,0.11280487804878049
372,1998,37,337,0.10979228486646884
372,1999,38,330,0.11515151515151516
372,2000,40,330,0.12121212121212122
372,2001,42,323,0.13003095975232198
372,2002,43,327,0.13149847094801223
372,2003,44,327,0.1345565749235474
372,2004,44,327,0.1345565749235474
372,2005,44,324,0.13580246913580246
373,1995,38,323,0.11764705882352941
373,1996,39,325,0.12
373,1997,39,328,0.11890243902439024
373,1998,40,337,0.11869436201780416
373,1999,43,330,0.1303030303030303
373,2000,43,330,0.1303030303030303
373,2001,46,323,0.14241486068111456
373,2002,46,327,0.14067278287461774
373,2003,47,327,0.1437308868501529
373,2004,48,327,0.14678899082568808
