gwcode,year,hro_n,hro_secloc
572,2002,16.6666666666666,NA
572,2003,17,NA
572,2004,NA,NA
572,2005,NA,NA
580,1995,21,NA
580,1996,23.5,NA
580,1997,26,NA
580,1998,27,NA
580,1999,28,NA
580,2000,23,NA
580,2001,22.6666666666666,NA
580,2002,22.3333333333334,NA
580,2003,22,NA
580,2004,NA,NA
580,2005,NA,NA
590,1995,27,1
590,1996,28.5,1
590,1997,30,1
590,1998,29.5,1
590,1999,29,1
590,2000,30,1
590,2001,29,1
590,2002,28,1
590,2003,27,1
590,2004,NA,1
590,2005,NA,1
600,1995,39,1
600,1996,44,1
600,1997,49,1
600,1998,48,1
600,1999,47,1
600,2000,47,1
600,2001,46.6666666666666,1
600,2002,46.3333333333334,1
600,2003,46,1
600,2004,NA,1
600,2005,NA,1
615,1995,38,1
615,1996,43,1
615,1997,48,1
615,1998,47.5,1
615,1999,47,1
615,2000,42,1
615,2001,40.6666666666665,1
615,2002,39.3333333333335,1
615,2003,38,1
615,2004,NA,1
615,2005,NA,1
616,1995,33,3
616,1996,41.5,3
616,1997,50,3
616,1998,50,3
616,1999,50,3
616,2000,47,3
616,2001,45,3
616,2002,43,3
616,2003,41,3
616,2004,NA,3
616,2005,NA,3
620,1995,14,0
620,1996,17,0
620,1997,20,0
620,1998,19.5,0
620,1999,19,0
620,2000,19,0
620,2001,18.3333333333333,0
620,2002,17.6666666666667,0
620,2003,17,0
620,2004,NA,0
620,2005,NA,0
625,1995,26,1
625,1996,28.5,1
625,1997,31,1
625,1998,31.5,1
625,1999,32,1
625,2000,29,1
625,2001,29.3333333333334,1
625,2002,29.6666666666666,1
625,2003,30,1
625,2004,NA,1
625,2005,NA,1
630,1995,19,0
630,1996,20,0
630,1997,21,0
630,1998,19,0
630,1999,17,0
630,2000,23,0
630,2001,21.6666666666665,0
630,2002,20.3333333333335,0
630,2003,NA,NA
630,2004,NA,0
630,2005,NA,0
640,1995,28,0
640,1996,33,0
640,1997,38,0
640,1998,38.5,0
640,1999,39,0
640,2000,41,0
640,2001,41.6666666666667,0
640,2002,42.3333333333333,0
640,2003,43,0
640,2004,NA,0
640,2005,NA,0
645,1995,20,1
645,1996,22,1
645,1997,24,1
645,1998,23,1
645,1999,22,1
645,2000,19,1
645,2001,17.3333333333335,1
645,2002,15.6666666666665,1
645,2003,NA,NA
645,2004,NA,1
645,2005,NA,1
651,1995,43,3
651,1996,48.5,3
651,1997,54,3
651,1998,54.5,3
651,1999,55,3
651,2000,54,3
651,2001,52.6666666666665,3
651,2002,51.3333333333335,3
651,2003,50,3
651,2004,NA,3
651,2005,NA,3
652,1995,24,0
652,1996,26.5,0
652,1997,29,0
652,1998,26.5,0
652,1999,24,0
652,2000,25,0
652,2001,24.6666666666666,0
652,2002,24.3333333333334,0
652,2003,24,0
652,2004,NA,0
652,2005,NA,0
660,1995,NA,NA
660,1996,NA,NA
660,1997,NA,NA
660,1998,NA,NA
660,1999,NA,NA
660,2000,NA,NA
660,2001,35.3333333333333,1
660,2002,34.6666666666667,1
660,2003,34,1
660,2004,NA,1
660,2005,NA,1
663,1995,28,0
663,1996,32,0
663,1997,36,0
663,1998,35,0
663,1999,34,0
663,2000,38,0
663,2001,37.6666666666666,0
663,2002,37.3333333333334,0
663,2003,37,0
663,2004,NA,0
663,2005,NA,0
666,1995,NA,NA
666,1996,46,2
666,1997,50,2
666,1998,49.5,2
666,1999,49,2
666,2000,55,2
666,2001,53.3333333333335,2
666,2002,51.6666666666665,2
666,2003,50,2
666,2004,NA,2
666,2005,NA,2
670,1995,19,0
670,1996,20,0
670,1997,21,0
670,1998,19,0
670,1999,17,0
670,2000,16,0
670,2001,16.3333333333334,0
670,2002,16.6666666666666,0
670,2003,17,0
670,2004,NA,0
670,2005,NA,0
678,1995,15,NA
678,1996,18,NA
678,1997,21,NA
678,1998,18.5,NA
678,1999,16,NA
678,2000,17,NA
678,2001,16.3333333333333,NA
678,2002,15.6666666666667,NA
678,2003,15,NA
678,2004,NA,NA
678,2005,NA,NA
690,1995,23,0
690,1996,25,0
690,1997,27,0
690,1998,25,0
690,1999,23,0
690,2000,21,0
690,2001,21.3333333333334,0
690,2002,21.6666666666666,0
690,2003,22,0
690,2004,NA,0
690,2005,NA,0
694,1995,4,NA
694,1996,5,NA
694,1997,6,NA
694,1998,7,NA
694,1999,8,NA
694,2000,8,NA
694,2001,7.66666666666663,NA
694,2002,7.33333333333337,NA
694,2003,7,NA
694,2004,NA,NA
694,2005,NA,NA
698,1995,7,NA
698,1996,9,NA
698,1997,11,NA
698,1998,9,NA
698,1999,7,NA
698,2000,9,NA
698,2001,9,NA
698,2002,9,NA
698,2003,9,NA
698,2004,NA,NA
698,2005,NA,NA
700,1995,11,NA
700,1996,11,NA
700,1997,11,NA
700,1998,8.5,NA
700,1999,6,NA
700,2000,8,NA
700,2001,6.66666666666652,NA
700,2002,5.33333333333348,NA
700,2003,4,NA
700,2004,NA,NA
700,2005,NA,NA
701,1995,NA,NA
701,1996,NA,NA
701,1997,NA,NA
701,1998,NA,NA
701,1999,NA,NA
701,2000,NA,NA
701,2001,NA,NA
701,2002,NA,NA
701,2003,NA,NA
701,2004,NA,NA
701,2005,NA,NA
702,1995,4,NA
702,1996,5,NA
702,1997,6,NA
702,1998,6,NA
702,1999,6,NA
702,2000,7,NA
702,2001,8.66666666666652,NA
702,2002,10.3333333333335,NA
702,2003,12,NA
702,2004,NA,NA
702,2005,NA,NA
703,1995,NA,NA
703,1996,NA,NA
703,1997,NA,NA
703,1998,NA,NA
703,1999,NA,NA
703,2000,NA,NA
703,2001,NA,NA
703,2002,NA,NA
703,2003,NA,NA
703,2004,NA,NA
703,2005,NA,NA
704,1995,5,NA
704,1996,7.5,NA
704,1997,10,NA
704,1998,10,NA
704,1999,10,NA
704,2000,12,NA
704,2001,11.6666666666666,NA
704,2002,11.3333333333334,NA
704,2003,11,NA
704,2004,NA,NA
704,2005,NA,NA
705,1995,7,NA
