gwcode,year,NE.TRD.GNFS.ZS
760,1983,57.8312359709116
760,1984,58.0612021643078
760,1985,66.1305839633803
760,1986,70.0522366391781
760,1987,61.6385014393624
760,1988,77.1890437745484
760,1989,66.0154058796115
760,1990,57.4829835555202
760,1991,72.2810297721311
760,1992,87.8903326587381
760,1993,75.6620331296629
760,1994,68.9547840069737
760,1995,80.3984622015262
760,1996,81.1564493428122
760,1997,82.0206934423105
760,1998,82.5175996793296
760,1999,81.8156737632596
760,2000,77.6648452193735
760,2001,74.0343279489531
760,2002,73.2002665133737
760,2003,76.3574133686125
760,2004,93.1919117073726
760,2005,102.698072971288
760,2006,113.597305079224
760,2007,112.264075886168
760,2008,106.749451994739
760,2009,106.906126982571
760,2010,113.183993820434
760,2011,111.691583284285
760,2012,101.763927226458
760,2013,102.735475201749
760,2014,92.7645699098652
760,2015,96.4182116610232
760,2016,77.6897625358544
760,2017,78.6453361616911
760,2018,NA
770,1960,NA
770,1961,NA
770,1962,NA
770,1963,NA
770,1964,NA
770,1965,NA
770,1966,NA
770,1967,27.2826330297037
770,1968,23.9300176331984
770,1969,22.5295458285531
770,1970,22.4387441636968
770,1971,19.9322882737038
770,1972,28.7568106200243
770,1973,29.8304600209808
770,1974,34.4578783536613
770,1975,33.2460329058622
770,1976,30.0956187448463
770,1977,28.3054534878717
770,1978,27.7198203443808
770,1979,33.4499072001012
770,1980,36.5872014137945
770,1981,35.3294884929303
770,1982,31.7100938148865
770,1983,34.8960808793489
770,1984,33.6965258795626
770,1985,33.237526895175
770,1986,34.5673517555092
770,1987,34.2384568889781
770,1988,35.2566083291618
770,1989,35.6300685349371
770,1990,38.909494887341
770,1991,35.5546834735877
770,1992,37.887859648657
770,1993,38.7473453554692
770,1994,35.3270506000881
770,1995,36.132753673519
770,1996,38.3301268339895
770,1997,36.8522661008964
770,1998,34.011725180531
770,1999,32.3199628094265
770,2000,28.1296073218994
770,2001,30.3715337731091
770,2002,30.537629916899
770,2003,32.8444957470269
770,2004,30.3001287101681
770,2005,35.2532900334196
770,2006,35.6817296644661
770,2007,32.9904285662027
770,2008,35.5942014925682
770,2009,32.0718482614804
770,2010,32.8689265807296
770,2011,32.9399051456411
770,2012,32.8055022073679
770,2013,33.3335986818131
770,2014,30.9012446161031
770,2015,27.6546730166962
770,2016,25.3062315100758
770,2017,25.7881318202738
770,2018,27.9696234130394
771,1971,17.0190718372794
771,1972,19.4072895559385
771,1973,18.3946565109774
771,1974,14.0496210654104
771,1975,10.9956261323865
771,1976,22.3822749296616
771,1977,19.4221981983695
771,1978,21.0385149611892
771,1979,21.9070635430834
771,1980,23.377231112235
771,1981,19.2471590909091
771,1982,20.6069241937352
771,1983,20.3168806212371
771,1984,16.8117271749034
771,1985,18.2221846249994
771,1986,17.0187425082782
771,1987,16.6877976312963
771,1988,17.6780643099612
771,1989,18.3251740190693
771,1990,18.9665020125385
771,1991,18.8898268850747
771,1992,19.9340055024511
771,1993,23.1215830698982
771,1994,22.8658645545703
771,1995,28.2094960764218
771,1996,26.0760877233809
771,1997,26.3255133900833
771,1998,27.8800634028394
771,1999,28.3879405571158
771,2000,29.3217143619038
771,2001,32.0980170730117
771,2002,28.9673807211649
771,2003,27.657884900158
771,2004,26.8582341492431
771,2005,34.396934864465
771,2006,38.1119244325921
771,2007,39.9423826531735
771,2008,42.6209140325589
771,2009,40.092796223023
771,2010,37.8028426708321
771,2011,47.4208498356898
771,2012,48.1109227476789
771,2013,46.2964027239758
771,2014,44.5140801968096
771,2015,42.0859963070382
771,2016,37.9542963529911
771,2017,35.3040000906967
771,2018,38.2448929879071
775,1960,NA
775,1961,NA
775,1962,NA
775,1963,NA
775,1964,NA
775,1965,NA
775,1966,NA
775,1967,NA
775,1968,NA
775,1969,NA
775,1970,NA
775,1971,NA
775,1972,NA
775,1973,NA
775,1974,NA
775,1975,NA
775,1976,NA
775,1977,NA
775,1978,NA
775,1979,NA
775,1980,NA
775,1981,NA
775,1982,NA
775,1983,NA
775,1984,NA
775,1985,NA
775,1986,NA
775,1987,NA
775,1988,NA
775,1989,NA
775,1990,NA
775,1991,NA
775,1992,NA
775,1993,NA
775,1994,NA
775,1995,NA
775,1996,NA
775,1997,NA
775,1998,NA
775,1999,NA
775,2000,1.16569558306638
775,2001,0.917310272291269
775,2002,0.511203519371309
775,2003,0.36595962878133
775,2004,0.327856971227387
775,2005,0.273893892366497
775,2006,0.247945769445521
775,2007,0.217686641528775
775,2008,0.183103590673755
775,2009,0.167417638932269
775,2010,0.175003171260919
775,2011,0.200366513370464
775,2012,22.3846155797021
775,2013,38.5807589671767
775,2014,42.2589431833527
775,2015,47.3600033533835
775,2016,36.9632383844972
775,2017,47.9531673593019
775,2018,NA
780,1960,62.8658933094919
780,1961,56.0229732202998
780,1962,56.9939692556317
780,1963,53.24937921873
780,1964,51.3372618167282
780,1965,51.3978228599703
780,1966,48.2187837351565
780,1967,43.7645236250968
780,1968,44.2101334328637
780,1969,43.0098332620778
780,1970,54.0544496487119
780,1971,51.2241992882562
780,1972,46.2254869810454
780,1973,49.907628776353
780,1974,60.329813638467
780,1975,62.4487338676299
780,1976,60.4277720756216
780,1977,63.9712143269151
780,1978,74.3161842259463
780,1979,79.4643709317197
780,1980,87.0173012461106
780,1981,76.9954708546556
780,1982,73.6139382091537
780,1983,67.7601335515333
780,1984,63.5476695328659
780,1985,63.9772132409546
780,1986,59.0475500629618
780,1987,60.8886607056623
780,1988,62.9132091791226
780,1989,64.0169755965874
780,1990,68.243915172911
780,1991,67.5959123930763
780,1992,72.8037565573982
780,1993,77.1475183409566
780,1994,79.4307906970319
780,1995,81.6350490886111
780,1996,78.8739637143809
780,1997,80.1375533095503
780,1998,78.4949891255872
780,1999,78.7514783496374
780,2000,88.636441704913
780,2001,80.8986015327576
780,2002,76.3351317826517
780,2003,75.336247330543
780,2004,79.4829449011187
780,2005,73.6039729580533
780,2006,71.2611784883009
780,2007,68.6065116601391
780,2008,63.369043608222
