gwcode,year,SP.DYN.IMRT.IN
165,1977,46.5
200,1977,14
205,1977,15.3
210,1977,9.7
211,1977,14.1
212,1977,12.7
220,1977,11.5
225,1977,9.8
230,1977,15.9
235,1977,29.6
260,1977,NA
265,1977,NA
290,1977,23.2
305,1977,16.6
310,1977,26.7
315,1977,NA
325,1977,17.3
338,1977,17.1
339,1977,NA
345,1977,NA
350,1977,21.2
352,1977,NA
355,1977,22.8
360,1977,31.3
365,1977,24.5
375,1977,8.7
380,1977,7.9
385,1977,9.3
390,1977,9.2
395,1977,9.3
402,1977,73.1
404,1977,NA
411,1977,NA
420,1977,113.4
432,1977,171.8
433,1977,104.9
434,1977,135.4
435,1977,98.1
436,1977,133.2
437,1977,124.1
438,1977,176.5
439,1977,123.3
450,1977,168.6
451,1977,173.8
452,1977,105.9
461,1977,113.3
471,1977,114.3
475,1977,135.9
481,1977,NA
482,1977,121.7
483,1977,124.3
484,1977,74.5
490,1977,136.6
500,1977,122.2
501,1977,76
510,1977,112.4
516,1977,142.8
517,1977,148.2
520,1977,NA
522,1977,126.5
530,1977,143.3
540,1977,NA
541,1977,173
551,1977,94
552,1977,69.6
553,1977,167.4
560,1977,76.2
570,1977,109
571,1977,62.7
572,1977,93.2
580,1977,101.2
581,1977,129.9
590,1977,39.7
600,1977,103.3
615,1977,118.5
616,1977,83.3
620,1977,65.5
625,1977,91.5
630,1977,93.8
640,1977,101.3
645,1977,60.7
651,1977,131.8
652,1977,53.7
660,1977,43.2
663,1977,48.9
666,1977,18.6
670,1977,83.8
678,1977,163
680,1977,NA
690,1977,36
692,1977,32.7
694,1977,34
696,1977,38.4
698,1977,100.4
700,1977,176.3
710,1977,56
712,1977,NA
713,1977,NA
731,1977,NA
732,1977,34.3
740,1977,8.8
750,1977,124.1
760,1977,146.1
770,1977,128.9
771,1977,141.4
775,1977,104.1
780,1977,46.3
781,1977,124.3
790,1977,151.6
800,1977,53.2
811,1977,153.9
812,1977,NA
816,1977,49.3
820,1977,31.1
830,1977,12.5
840,1977,54.5
850,1977,92.1
900,1977,12.6
910,1977,82.1
920,1977,14
950,1977,39.9
55,1977,NA
221,1977,NA
223,1977,NA
331,1977,NA
232,1977,NA
403,1977,57.7
591,1977,33.5
971,1977,NA
972,1977,NA
990,1977,NA
2,1978,13.8
20,1978,11.8
31,1978,26.2
40,1978,18.9
41,1978,134.2
42,1978,67.9
51,1978,34.4
52,1978,36.2
53,1978,26.6
70,1978,59.8
90,1978,93.6
91,1978,74.9
92,1978,86.1
93,1978,87
94,1978,24.1
95,1978,37.4
100,1978,49.9
101,1978,38.1
110,1978,53.7
115,1978,NA
130,1978,73.1
135,1978,85.7
140,1978,83.1
145,1978,117.4
150,1978,52
155,1978,35.8
160,1978,43.9
165,1978,43.3
200,1978,13.4
205,1978,14.2
210,1978,9.3
211,1978,13.5
212,1978,12.2
220,1978,11
225,1978,9.2
230,1978,14.8
235,1978,26.8
260,1978,NA
265,1978,NA
290,1978,22.5
305,1978,15.5
310,1978,24.2
315,1978,NA
325,1978,16.1
338,1978,16.3
339,1978,72.7
345,1978,NA
350,1978,19.9
352,1978,NA
355,1978,21.7
360,1978,30.3
365,1978,24
375,1978,8.1
380,1978,7.6
385,1978,8.8
390,1978,8.8
395,1978,8.8
402,1978,69.8
404,1978,NA
411,1978,NA
420,1978,111.1
432,1978,167.9
433,1978,101.3
434,1978,132
435,1978,96.1
436,1978,131.5
437,1978,119.7
438,1978,173.6
439,1978,119.6
450,1978,166
451,1978,171.7
452,1978,103.6
461,1978,110.9
471,1978,113.6
475,1978,132.2
481,1978,78.9
482,1978,120.2
483,1978,123.7
484,1978,72.9
490,1978,134.6
500,1978,125.2
501,1978,73.6
510,1978,110.4
516,1978,139.8
517,1978,144.6
520,1978,NA
522,1978,123.2
530,1978,143.1
540,1978,NA
541,1978,172.5
551,1978,94.4
552,1978,69.1
553,1978,161
560,1978,72.5
570,1978,104.7
571,1978,59.7
572,1978,89.6
580,1978,102.3
581,1978,126.4
590,1978,36.6
600,1978,100
615,1978,113.2
616,1978,78.2
